Name,SMILES,HOMO /eV,LUMO /eV,EG /eV
0_m,COc1cc2ccn(C)c2cc1OC,-4.825667024767,0.3061280818125,5.1317951065795
1_m,c1scc2c1OCCO2,-5.803924,-0.044542,5.759382
2_m,COc1cc2cc[nH]c2cc1OC,-4.873559,0.226032,5.099592
3_m,COc1csc(-c2cccc3nonc23)c1,-5.627501,-2.589906,3.037595
4_m,Fc1ccc(F)cc1,-6.565153,-0.572247,5.992906
5_m,S=c1sc2cscc2s1,-6.286048,-2.164637,4.121411
6_m,COc1csc(-c2nncc3nonc23)c1,-6.048826,-3.329023,2.719803
7_m,c1ccsc1,-6.333969,-0.207616,6.126353
8_m,COc1cc2cc(C(=O)O)[nH]c2cc1OC,-5.314728,-1.063776,4.250952
9_m,c1ccc2nccnc2c1,-6.696085,-1.924921,4.771165
10_m,CN1C=C2C(=O)N(C)C=C2C1=O,-5.525011,-2.174894,3.350117
11_m,c1ccoc1,-6.107382,0.535812,6.643194
12_m,COc1cc2cc(C(=O)O)n(C)c2cc1OC,-5.265723,-1.027997,4.237727
13_m,COc1ccsc1-c1cccc2nsnc12,-5.514218,-2.220512,3.293706
14_m,c1ccc2nonc2c1,-6.858843,-2.443918,4.414926
15_m,c1nncc2nonc12,-7.40768,-3.460704,3.946976
16_m,c1ccc2nsnc2c1,-6.60987,-2.345047,4.264823
17_m,c1cc2nonc2cn1,-7.40102,-2.971697,4.429323
18_m,c1cnc2cscc2n1,-6.238496,-2.264405,3.974091
19_m,c1ccc2c(c1)SCS2,-5.590769,-0.432059,5.15871
20_m,c1ccc2ccccc2c1,-5.787291,-0.958662,4.828629
21_m,c1cc2nsnc2cn1,-7.087633,-2.821854,4.265779
22_m,c1nncc2nsnc12,-6.991235,-3.279374,3.711861
23_m,CC(=O)Nc1ccc2c(c1)SCS2,-5.421243,-0.542156,4.879087
24_m,Brc1cc2ccccc2cc1Br,-6.203989,-1.557362,4.646627
25_m,CC(=O)Nc1ccoc1,-5.739849,0.121044,5.860894
26_m,Sc1cnc2cocc2n1,-6.075365,-2.21845,3.856915
27_m,Cc1ccc2c(c1)SCS2,-5.494072,-0.376679,5.117393
28_m,O=S(=O)(O)c1cc2nonc2cn1,-8.132302,-3.701718,4.430584
29_m,Cc1cocc1C,-5.808547,0.807148,6.615695
30_m,Fc1nc2cocc2nc1F,-6.476938,-2.410192,4.066746
31_m,COc1cc2ccccc2cc1OC,-5.569722,-0.762284,4.807438
32_m,Fc1ccc2nsnc2c1,-6.733839,-2.493464,4.240375
33_m,CC(=O)Oc1ccc2c(c1)SCS2,-5.620173,-0.550578,5.069595
34_m,COc1cnc2ccccc2n1,-6.319793,-1.649303,4.670489
35_m,Oc1ccc2ccccc2c1,-5.516852,-0.922595,4.594256
36_m,Fc1nc2cscc2nc1F,-6.588495,-2.456133,4.132361
37_m,Cc1ccsc1,-6.17053,-0.070632,6.099899
38_m,Sc1cocc1S,-6.041849,-0.048366,5.993484
39_m,CC(=O)Oc1cocc1OC(C)=O,-6.217084,-0.260169,5.956915
40_m,Sc1cc2nonc2cc1S,-6.788086,-2.710775,4.077311
41_m,Cc1cnc2cocc2n1,-5.986054,-2.002648,3.983406
42_m,FC(F)(F)c1ccc2ccccc2c1,-6.227339,-1.401717,4.825622
43_m,Brc1ccoc1,-6.396049,0.000272,6.39632
44_m,O=S(=O)(O)c1ccc2ccccc2c1,-6.45585,-1.734519,4.721331
45_m,Oc1cc2nccnc2cc1O,-6.166381,-1.688116,4.478265
46_m,O=S(=O)(O)c1cnc2cocc2n1,-6.850886,-3.131296,3.71959
47_m,FC(F)(F)c1nc2cscc2nc1C(F)(F)F,-6.94618,-3.044832,3.901348
48_m,CC(=O)Oc1cnc2ccccc2n1,-6.726355,-1.949736,4.776619
49_m,Sc1ccc2ccccc2c1,-5.708616,-1.119415,4.589201
50_m,Brc1ccc2ccccc2c1,-6.051185,-1.302128,4.749057
51_m,N#Cc1cc2nonc2cn1,-7.925688,-3.661399,4.264289
52_m,Cc1ccc2nccnc2c1,-6.556503,-1.821147,4.735356
53_m,CNc1cnc2cocc2n1,-5.378788,-1.687532,3.691256
54_m,O=Cc1cc2ccccc2cc1C=O,-6.563697,-2.27169,4.292008
55_m,Cc1cnc2cscc2n1,-6.112476,-2.079488,4.032988
56_m,N#Cc1ccc2ncc(C#N)nc2c1,-7.765904,-3.309221,4.456684
57_m,O=Cc1cc2nccnc2cc1C=O,-6.906389,-2.857582,4.048807
58_m,N#Cc1cscc1C#N,-7.738333,-2.076499,5.661835
59_m,CNc1nc2cocc2nc1NC,-5.259323,-1.119559,4.139763
60_m,N#Cc1ccc2ccccc2c1,-6.391968,-1.805537,4.58643
61_m,Sc1cc2ccccc2cc1S,-5.915083,-1.302924,4.612159
62_m,CNc1ccc2c(c1)SCS2,-4.927981,-0.223303,4.704678
63_m,CC(=O)Oc1cscc1OC(C)=O,-6.441503,-0.590423,5.85108
64_m,CNc1cc2nsnc2cn1,-5.632351,-2.34684,3.285511
65_m,CNc1ccsc1,-5.113495,0.052086,5.165581
66_m,COc1ccc2nsnc2c1,-6.202313,-2.118682,4.083631
67_m,O=S(=O)(O)c1nc2cscc2nc1S(=O)(=O)O,-7.548578,-3.761807,3.786772
68_m,Fc1cnc2cocc2n1,-6.310519,-2.347914,3.962605
69_m,CNc1ccc2nonc2c1,-5.810189,-1.93948,3.870709
70_m,CNc1ccc2ccccc2c1,-5.049472,-0.645722,4.40375
71_m,CC(=O)Oc1cnc2cscc2n1,-6.293479,-2.267222,4.026257
72_m,N#Cc1ccc2nccnc2c1,-7.274709,-2.622905,4.651804
73_m,COc1ccoc1,-5.542841,0.561606,6.104448
74_m,COc1nc2ccccc2nc1OC,-6.010711,-1.247518,4.763192
75_m,O=Cc1cc2nsnc2cc1C=O,-7.000644,-3.308167,3.692477
76_m,Cc1ccc2ncc(C)nc2c1,-6.457238,-1.652713,4.804525
77_m,FC(F)(F)c1cnc2ccccc2n1,-7.04779,-2.410992,4.636797
78_m,Brc1cnc2cocc2n1,-6.431635,-2.519676,3.91196
79_m,CC(=O)Nc1ccc2nsnc2c1,-6.191287,-2.293259,3.898028
80_m,O=S(=O)(O)c1ccc2c(c1)SCS2,-6.186373,-1.457789,4.728584
81_m,Brc1nc2cocc2nc1Br,-6.587085,-2.722898,3.864187
82_m,CC(=O)Oc1ccsc1,-6.226684,-0.465935,5.760749
83_m,CNc1cc2nonc2cn1,-5.888955,-2.431756,3.457199
84_m,Cc1cc2nccnc2cc1C,-6.451231,-1.741304,4.709927
85_m,Sc1cc2nsnc2cc1S,-6.561244,-2.610098,3.951145
86_m,COc1ccc2c(c1)SCS2,-5.295074,-0.384606,4.910467
87_m,Cc1ccc2ccccc2c1,-5.697896,-0.863014,4.834882
88_m,O=Cc1ccoc1,-6.820486,-1.365771,5.454716
89_m,Sc1ccc2ncc(S)nc2c1,-6.242259,-2.046429,4.19583
90_m,COc1ccc2nonc2c1,-6.473887,-2.170338,4.303549
91_m,CC(=O)Oc1ccc2nccnc2c1,-6.6836,-1.994147,4.689452
92_m,Brc1ccc2ncc(Br)nc2c1,-7.069175,-2.503371,4.565804
93_m,N#Cc1ccsc1,-7.093277,-1.373644,5.719633
94_m,Cc1cc2ccccc2cc1C,-5.610896,-0.791534,4.819361
95_m,O=S(=O)(O)c1cnc2cscc2n1,-6.972554,-3.162005,3.81055
96_m,CC(=O)Nc1cc2nccnc2cc1NC(C)=O,-6.32533,-1.845558,4.479772
97_m,COc1ccc2ccccc2c1,-5.415749,-0.897983,4.517766
98_m,CC(=O)Nc1cnc2cscc2n1,-6.009992,-2.144071,3.865921
99_m,FC(F)(F)c1cnc2cscc2n1,-6.620118,-2.681616,3.938502
100_m,Oc1ccc2c(c1)SCS2,-5.373199,-0.44037,4.932829
101_m,CC(=O)Nc1cscc1NC(C)=O,-5.987825,-0.46427,5.523555
102_m,Fc1ccsc1,-6.434966,-0.443854,5.991112
103_m,Sc1cnc2ccccc2n1,-6.382981,-1.971763,4.411218
104_m,FC(F)(F)c1cc2nccnc2cc1C(F)(F)F,-7.394579,-2.674836,4.719743
105_m,Fc1cc2nccnc2cc1F,-7.042317,-2.194062,4.848255
106_m,O=Cc1ccc2nsnc2c1,-7.072654,-2.92476,4.147894
107_m,N#Cc1cc2nccnc2cc1C#N,-7.735501,-3.149131,4.58637
108_m,O=S(=O)(O)c1cscc1S(=O)(=O)O,-8.184622,-2.079369,6.105253
109_m,CC(=O)Oc1ccc2ccccc2c1,-5.857098,-1.073348,4.78375
110_m,Oc1ccsc1,-5.771616,-0.165562,5.606054
111_m,Cc1cc2nsnc2cn1,-6.796356,-2.727302,4.069054
112_m,N#Cc1cnc2cocc2n1,-6.703865,-3.050367,3.653498
113_m,N#Cc1cnc2ccccc2n1,-7.210153,-2.733686,4.476467
114_m,Sc1ccc2nonc2c1,-6.544941,-2.498454,4.046486
115_m,COc1cc2nccnc2cc1OC,-5.95076,-1.511097,4.439663
116_m,Oc1cc2nonc2cn1,-6.759966,-2.91985,3.840116
117_m,CC(=O)Oc1cc2ccccc2cc1OC(C)=O,-5.986868,-1.17163,4.815239
118_m,CNc1cscc1NC,-5.029694,0.477085,5.506779
119_m,CC(=O)Oc1cc2nsnc2cn1,-6.987166,-2.904656,4.08251
120_m,Cc1nc2cocc2nc1C,-5.855033,-1.838811,4.016221
121_m,CNc1cnc2ccccc2n1,-5.638109,-1.475354,4.162755
122_m,COc1cscc1OC,-5.540635,0.231813,5.772448
123_m,Oc1cnc2cocc2n1,-5.976474,-1.999535,3.97694
124_m,COc1nc2cocc2nc1OC,-5.656115,-1.393635,4.26248
125_m,FC(F)(F)c1ccc2nccnc2c1,-7.084639,-2.323222,4.761416
126_m,CC(=O)Nc1cc2ccccc2cc1NC(C)=O,-5.612765,-1.032778,4.579987
127_m,CNc1ccoc1,-5.177983,0.838108,6.016091
128_m,CC(=O)Nc1nc2cscc2nc1NC(C)=O,-5.996239,-2.114681,3.881558
129_m,Fc1cc2nsnc2cc1F,-6.948788,-2.596905,4.351883
130_m,Sc1cnc2cscc2n1,-6.156146,-2.279286,3.87686
131_m,O=S(=O)(O)c1ccc2nsnc2c1,-7.316463,-3.011063,4.305401
132_m,Fc1cc2nonc2cn1,-7.402289,-3.205125,4.197164
133_m,O=Cc1cc2nsnc2cn1,-7.275955,-3.304733,3.971222
134_m,FC(F)(F)c1cnc2cocc2n1,-6.522876,-2.652311,3.870565
135_m,Oc1ccc2ncc(O)nc2c1,-6.213709,-1.665836,4.547872
136_m,CC(=O)Nc1ccc2nonc2c1,-6.44394,-2.364669,4.079271
137_m,Fc1cocc1F,-6.54776,0.048564,6.596323
138_m,FC(F)(F)c1cc2ccccc2cc1C(F)(F)F,-6.600382,-1.770275,4.830107
139_m,O=S(=O)(O)c1ccoc1,-7.174553,-0.749054,6.425499
140_m,O=S(=O)(O)c1ccc2ncc(S(=O)(=O)O)nc2c1,-7.913199,-3.310786,4.602413
141_m,CNc1cc2ccccc2cc1NC,-5.081803,-0.38134,4.700463
142_m,CC(=O)Oc1cc2nonc2cc1OC(C)=O,-6.96894,-2.540195,4.428745
143_m,CNc1cnc2cscc2n1,-5.439918,-1.779168,3.66075
144_m,Fc1cnc2ccccc2n1,-6.846788,-2.085938,4.76085
145_m,CNc1ccc2ncc(NC)nc2c1,-5.190575,-1.106309,4.084266
146_m,O=S(=O)(O)c1cc2nsnc2cc1S(=O)(=O)O,-8.044395,-3.662788,4.381607
147_m,Fc1ccc2ccccc2c1,-5.922379,-1.137248,4.785131
148_m,N#Cc1cc2nonc2cc1C#N,-7.984266,-3.825956,4.15831
149_m,Sc1ccoc1,-5.830559,0.323954,6.154513
150_m,Brc1cnc2cscc2n1,-6.53444,-2.561978,3.972462
151_m,FC(F)(F)c1ccc2c(c1)SCS2,-5.972355,-0.97979,4.992565
152_m,FC(F)(F)c1cc2nonc2cc1C(F)(F)F,-7.750786,-3.280175,4.470612
153_m,Cc1cc2nonc2cc1C,-6.579154,-2.191574,4.38758
154_m,Oc1cc2nsnc2cc1O,-6.193773,-2.051473,4.142299
155_m,COc1cc2nonc2cn1,-6.524576,-2.841131,3.683445
156_m,O=Cc1ccsc1,-6.960587,-1.574703,5.385884
157_m,COc1cnc2cscc2n1,-5.999439,-1.939209,4.06023
158_m,Oc1cscc1O,-5.723484,0.038574,5.762058
159_m,COc1cc2nonc2cc1OC,-6.310526,-1.840259,4.470267
160_m,CC(=O)Oc1ccc2nsnc2c1,-6.622425,-2.400744,4.221682
161_m,N#Cc1cnc2cscc2n1,-6.785566,-3.046098,3.739468
162_m,Sc1ccc2c(c1)SCS2,-5.511918,-0.589999,4.92192
163_m,Oc1cnc2ccccc2n1,-6.439473,-1.786347,4.653126
164_m,Fc1cnc2cscc2n1,-6.419446,-2.394976,4.02447
165_m,Fc1ccc2nccnc2c1,-6.792534,-2.080156,4.712378
166_m,CC(=O)Oc1nc2ccccc2nc1OC(C)=O,-6.821324,-2.013232,4.808092
167_m,Fc1nc2ccccc2nc1F,-7.018983,-2.159482,4.859501
168_m,Brc1ccc2nonc2c1,-7.05407,-2.754364,4.299706
169_m,Sc1cc2nsnc2cn1,-6.36557,-2.891621,3.473949
170_m,COc1nc2cscc2nc1OC,-5.814898,-1.522885,4.292013
171_m,O=Cc1ccc2c(c1)SCS2,-5.981896,-1.838799,4.143097
172_m,O=S(=O)(O)c1cnc2ccccc2n1,-7.364138,-2.810166,4.553972
173_m,O=Cc1cnc2cscc2n1,-6.614899,-2.911657,3.703242
174_m,CC(=O)Nc1cc2nsnc2cn1,-6.363696,-2.711528,3.652169
175_m,Cc1ccoc1,-5.945687,0.675744,6.62143
176_m,O=Cc1cnc2cocc2n1,-6.521312,-2.910459,3.610853
177_m,O=S(=O)(O)c1cc2nsnc2cn1,-7.857215,-3.774405,4.08281
178_m,Brc1ccc2nccnc2c1,-6.82297,-2.221987,4.600983
179_m,FC(F)(F)c1ccc2ncc(C(F)(F)F)nc2c1,-7.50447,-2.754672,4.749797
180_m,N#Cc1ccc2c(c1)SCS2,-6.136821,-1.574492,4.562329
181_m,Sc1ccc2nccnc2c1,-6.227239,-2.010451,4.216788
182_m,CC(=O)Oc1cnc2cocc2n1,-6.175447,-2.204927,3.97052
183_m,FC(F)(F)c1cc2nsnc2cn1,-7.506285,-3.245697,4.260588
184_m,Oc1ccc2nccnc2c1,-6.28229,-1.828594,4.453696
